2026-07-29 23:01:27,229 | INFO | Opening Login Page
2026-07-29 23:32:41,173 | INFO | Clicking Available Filter
2026-07-29 23:32:45,755 | INFO | Opening Login Page
2026-07-29 23:32:46,707 | INFO | Starting Login Process
2026-07-29 23:32:46,707 | INFO | Entering Username
2026-07-29 23:32:47,965 | INFO | Entering Password
2026-07-29 23:32:48,120 | INFO | Clicking Login Button
2026-07-29 23:32:50,583 | INFO | Login Request Submitted
2026-07-29 23:32:50,660 | INFO | Opening Smart Bin Page
2026-07-29 23:32:50,812 | INFO | Clicking Full Filter
2026-07-29 23:33:06,474 | INFO | Opening Login Page
2026-07-29 23:33:06,823 | INFO | Starting Login Process
2026-07-29 23:33:06,823 | INFO | Entering Username
2026-07-29 23:33:08,611 | INFO | Entering Password
2026-07-29 23:33:08,761 | INFO | Clicking Login Button
2026-07-29 23:33:11,136 | INFO | Login Request Submitted
2026-07-29 23:33:11,212 | INFO | Opening Smart Bin Page
2026-07-29 23:33:11,365 | INFO | Clicking Full Filter
2026-07-29 23:33:11,532 | INFO | Clicking All Filter
2026-07-29 23:33:11,679 | INFO | Fetching all Smart Bin cards
2026-07-29 23:40:48,370 | INFO | Opening Login Page
2026-07-29 23:40:48,825 | INFO | Starting Login Process
2026-07-29 23:40:48,826 | INFO | Entering Username
2026-07-29 23:40:50,625 | INFO | Entering Password
2026-07-29 23:40:50,819 | INFO | Clicking Login Button
2026-07-29 23:40:58,429 | INFO | Login Request Submitted
2026-07-29 23:41:02,776 | INFO | Opening Login Page
2026-07-29 23:41:03,251 | INFO | Starting Login Process
2026-07-29 23:41:03,251 | INFO | Entering Username
2026-07-29 23:41:05,068 | INFO | Entering Password
2026-07-29 23:41:05,234 | INFO | Clicking Login Button
2026-07-29 23:41:08,180 | INFO | Login Request Submitted
2026-07-29 23:50:26,542 | INFO | Opening Login Page
2026-07-29 23:50:27,195 | INFO | Starting Login Process
2026-07-29 23:50:27,195 | INFO | Entering Username
2026-07-29 23:50:29,055 | INFO | Entering Password
2026-07-29 23:50:29,236 | INFO | Clicking Login Button
2026-07-29 23:50:31,654 | INFO | Login Request Submitted
2026-07-29 23:50:36,033 | INFO | Opening Login Page
2026-07-29 23:50:36,631 | INFO | Starting Login Process
2026-07-29 23:50:36,631 | INFO | Entering Username
2026-07-29 23:50:38,451 | INFO | Entering Password
2026-07-29 23:50:38,639 | INFO | Clicking Login Button
2026-07-29 23:50:40,922 | INFO | Login Request Submitted
2026-07-29 23:57:26,844 | INFO | Opening Login Page
2026-07-29 23:57:27,634 | INFO | Starting Login Process
2026-07-29 23:57:27,635 | INFO | Entering Username
2026-07-29 23:57:29,468 | INFO | Entering Password
2026-07-29 23:57:29,652 | INFO | Clicking Login Button
2026-07-29 23:57:32,134 | INFO | Login Request Submitted
2026-07-29 23:57:37,550 | INFO | Opening Login Page
2026-07-29 23:57:37,957 | INFO | Starting Login Process
2026-07-29 23:57:37,958 | INFO | Entering Username
2026-07-29 23:57:39,767 | INFO | Entering Password
2026-07-29 23:57:39,955 | INFO | Clicking Login Button
2026-07-29 23:57:42,342 | INFO | Login Request Submitted
2026-07-29 23:57:46,855 | INFO | Opening Login Page
2026-07-29 23:57:47,214 | INFO | Starting Login Process
2026-07-29 23:57:47,215 | INFO | Entering Username
2026-07-29 23:57:49,008 | INFO | Entering Password
2026-07-29 23:57:49,176 | INFO | Clicking Login Button
2026-07-29 23:57:51,897 | INFO | Login Request Submitted
2026-07-29 23:57:56,449 | INFO | Opening Login Page
2026-07-29 23:57:56,785 | INFO | Starting Login Process
2026-07-29 23:57:56,785 | INFO | Entering Username
2026-07-29 23:57:58,672 | INFO | Entering Password
2026-07-29 23:57:58,854 | INFO | Clicking Login Button
2026-07-29 23:58:01,221 | INFO | Login Request Submitted
2026-07-29 23:58:01,342 | INFO | Opening Smart Bin Page
2026-07-29 23:58:01,509 | INFO | Clicking Full Filter
2026-07-29 23:59:52,744 | INFO | Opening Login Page
2026-07-29 23:59:53,123 | INFO | Starting Login Process
2026-07-29 23:59:53,123 | INFO | Entering Username
2026-07-29 23:59:54,939 | INFO | Entering Password
2026-07-29 23:59:55,110 | INFO | Clicking Login Button
2026-07-29 23:59:57,700 | INFO | Login Request Submitted
2026-07-30 00:00:33,527 | INFO | Opening Login Page
2026-07-30 00:00:33,899 | INFO | Starting Login Process
2026-07-30 00:00:33,900 | INFO | Entering Username
2026-07-30 00:00:36,339 | INFO | Entering Password
2026-07-30 00:00:36,519 | INFO | Clicking Login Button
2026-07-30 00:00:39,021 | INFO | Login Request Submitted
2026-07-30 00:00:43,552 | INFO | Opening Login Page
2026-07-30 00:00:43,833 | INFO | Starting Login Process
2026-07-30 00:00:43,833 | INFO | Entering Username
2026-07-30 00:00:46,249 | INFO | Entering Password
2026-07-30 00:00:46,404 | INFO | Clicking Login Button
2026-07-30 00:00:50,113 | INFO | Login Request Submitted
2026-07-30 00:00:54,454 | INFO | Opening Login Page
2026-07-30 00:00:54,875 | INFO | Starting Login Process
2026-07-30 00:00:54,875 | INFO | Entering Username
2026-07-30 00:00:56,682 | INFO | Entering Password
2026-07-30 00:00:56,854 | INFO | Clicking Login Button
2026-07-30 00:00:59,096 | INFO | Login Request Submitted
2026-07-30 00:00:59,312 | INFO | Opening Smart Bin Page
2026-07-30 00:00:59,462 | INFO | Clicking Full Filter
2026-07-30 00:02:28,535 | INFO | Opening Login Page
2026-07-30 00:02:28,901 | INFO | Starting Login Process
2026-07-30 00:02:28,901 | INFO | Entering Username
2026-07-30 00:02:30,707 | INFO | Entering Password
2026-07-30 00:02:30,890 | INFO | Clicking Login Button
2026-07-30 00:02:33,488 | INFO | Login Request Submitted
2026-07-30 00:02:33,573 | INFO | Opening Dashboard Page
2026-07-30 00:02:34,174 | INFO | Checking Dashboard Page
2026-07-30 00:02:38,553 | INFO | Opening Login Page
2026-07-30 00:02:38,957 | INFO | Starting Login Process
2026-07-30 00:02:38,957 | INFO | Entering Username
2026-07-30 00:02:40,772 | INFO | Entering Password
2026-07-30 00:02:40,938 | INFO | Clicking Login Button
2026-07-30 00:02:44,182 | INFO | Login Request Submitted
2026-07-30 00:02:48,565 | INFO | Opening Login Page
2026-07-30 00:02:49,012 | INFO | Starting Login Process
2026-07-30 00:02:49,012 | INFO | Entering Username
2026-07-30 00:02:50,824 | INFO | Entering Password
2026-07-30 00:02:50,996 | INFO | Clicking Login Button
2026-07-30 00:02:54,919 | INFO | Login Request Submitted
2026-07-30 00:02:59,417 | INFO | Opening Login Page
2026-07-30 00:03:00,200 | INFO | Starting Login Process
2026-07-30 00:03:00,200 | INFO | Entering Username
2026-07-30 00:03:02,095 | INFO | Entering Password
2026-07-30 00:03:02,264 | INFO | Clicking Login Button
2026-07-30 00:03:04,623 | INFO | Login Request Submitted
2026-07-30 00:03:04,701 | INFO | Opening Smart Bin Page
2026-07-30 00:03:04,872 | INFO | Clicking Full Filter
2026-07-30 00:40:15,761 | INFO | Opening Login Page
2026-07-30 00:40:23,215 | INFO | Opening Login Page
2026-07-30 00:40:31,840 | INFO | Opening Login Page
2026-07-30 00:40:38,596 | INFO | Opening Login Page
2026-07-30 00:43:17,403 | INFO | Opening Login Page
2026-07-30 00:43:17,782 | INFO | Starting Login Process
2026-07-30 00:43:17,782 | INFO | Entering Username
2026-07-30 00:43:19,594 | INFO | Entering Password
2026-07-30 00:43:19,753 | INFO | Clicking Login Button
2026-07-30 00:43:22,501 | INFO | Login Request Submitted
2026-07-30 00:43:22,580 | INFO | Opening Dashboard Page
2026-07-30 00:43:23,059 | INFO | Checking Dashboard Page
2026-07-30 00:43:27,390 | INFO | Opening Login Page
2026-07-30 00:43:27,672 | INFO | Starting Login Process
2026-07-30 00:43:27,672 | INFO | Entering Username
2026-07-30 00:43:29,517 | INFO | Entering Password
2026-07-30 00:43:29,667 | INFO | Clicking Login Button
2026-07-30 00:43:32,327 | INFO | Login Request Submitted
2026-07-30 00:43:36,756 | INFO | Opening Login Page
2026-07-30 00:43:37,106 | INFO | Starting Login Process
2026-07-30 00:43:37,106 | INFO | Entering Username
2026-07-30 00:43:38,917 | INFO | Entering Password
2026-07-30 00:43:39,103 | INFO | Clicking Login Button
2026-07-30 00:43:41,476 | INFO | Login Request Submitted
2026-07-30 00:43:45,842 | INFO | Opening Login Page
2026-07-30 00:43:46,663 | INFO | Starting Login Process
2026-07-30 00:43:46,664 | INFO | Entering Username
2026-07-30 00:43:47,988 | INFO | Entering Password
2026-07-30 00:43:48,138 | INFO | Clicking Login Button
2026-07-30 00:43:49,131 | INFO | Login Request Submitted
2026-07-30 00:44:03,468 | INFO | Opening Login Page
2026-07-30 00:44:03,906 | INFO | Starting Login Process
2026-07-30 00:44:03,906 | INFO | Entering Username
2026-07-30 00:44:05,744 | INFO | Entering Password
2026-07-30 00:44:05,906 | INFO | Clicking Login Button
2026-07-30 00:44:06,898 | INFO | Login Request Submitted
2026-07-30 00:44:21,199 | INFO | Opening Login Page
2026-07-30 00:44:21,558 | INFO | Starting Login Process
2026-07-30 00:44:21,559 | INFO | Entering Username
2026-07-30 00:44:23,406 | INFO | Entering Password
2026-07-30 00:44:23,578 | INFO | Clicking Login Button
2026-07-30 00:44:24,581 | INFO | Login Request Submitted
2026-07-30 00:44:38,949 | INFO | Opening Login Page
2026-07-30 00:44:40,108 | INFO | Starting Login Process
2026-07-30 00:44:40,109 | INFO | Entering Username
2026-07-30 00:44:41,393 | INFO | Entering Password
2026-07-30 00:44:41,553 | INFO | Clicking Login Button
2026-07-30 00:44:45,552 | INFO | Login Request Submitted
2026-07-30 00:44:45,649 | INFO | Opening Smart Bin Page
2026-07-30 00:44:45,807 | INFO | Clicking Full Filter
2026-07-30 00:49:10,678 | INFO | Opening Login Page
2026-07-30 00:49:11,037 | INFO | Starting Login Process
2026-07-30 00:49:11,037 | INFO | Entering Username
2026-07-30 00:49:12,603 | INFO | Opening Login Page
2026-07-30 00:49:12,897 | INFO | Starting Login Process
2026-07-30 00:49:12,897 | INFO | Entering Username
2026-07-30 00:49:12,957 | INFO | Entering Password
2026-07-30 00:49:13,166 | INFO | Clicking Login Button
2026-07-30 00:49:15,279 | INFO | Entering Password
2026-07-30 00:49:15,501 | INFO | Clicking Login Button
2026-07-30 00:49:16,127 | INFO | Login Request Submitted
2026-07-30 00:49:16,511 | INFO | Opening Dashboard Page
2026-07-30 00:49:17,101 | INFO | Checking Dashboard Page
2026-07-30 00:49:18,309 | INFO | Login Request Submitted
2026-07-30 00:49:21,802 | INFO | Opening Login Page
2026-07-30 00:49:22,179 | INFO | Starting Login Process
2026-07-30 00:49:22,179 | INFO | Entering Username
2026-07-30 00:49:22,950 | INFO | Opening Login Page
2026-07-30 00:49:23,310 | INFO | Starting Login Process
2026-07-30 00:49:23,311 | INFO | Entering Username
2026-07-30 00:49:24,122 | INFO | Entering Password
2026-07-30 00:49:24,327 | INFO | Clicking Login Button
2026-07-30 00:49:25,113 | INFO | Entering Password
2026-07-30 00:49:25,293 | INFO | Clicking Login Button
2026-07-30 00:49:26,711 | INFO | Login Request Submitted
2026-07-30 00:49:27,419 | INFO | Login Request Submitted
2026-07-30 00:49:32,066 | INFO | Opening Login Page
2026-07-30 00:49:32,918 | INFO | Starting Login Process
2026-07-30 00:49:32,918 | INFO | Entering Username
2026-07-30 00:49:34,817 | INFO | Entering Password
2026-07-30 00:49:35,007 | INFO | Clicking Login Button
2026-07-30 00:49:36,005 | INFO | Login Request Submitted
2026-07-30 00:49:41,286 | INFO | Opening Login Page
2026-07-30 00:49:41,727 | INFO | Starting Login Process
2026-07-30 00:49:41,727 | INFO | Entering Username
2026-07-30 00:49:43,530 | INFO | Entering Password
2026-07-30 00:49:43,693 | INFO | Clicking Login Button
2026-07-30 00:49:44,697 | INFO | Login Request Submitted
2026-07-30 00:49:50,560 | INFO | Opening Login Page
2026-07-30 00:49:50,999 | INFO | Starting Login Process
2026-07-30 00:49:50,999 | INFO | Entering Username
2026-07-30 00:49:52,824 | INFO | Entering Password
2026-07-30 00:49:52,993 | INFO | Clicking Login Button
2026-07-30 00:49:55,473 | INFO | Login Request Submitted
2026-07-30 00:49:55,539 | INFO | Opening Smart Bin Page
2026-07-30 00:49:55,692 | INFO | Clicking Full Filter
2026-07-30 00:54:01,945 | INFO | Opening Login Page
2026-07-30 00:54:02,523 | INFO | Starting Login Process
2026-07-30 00:54:02,523 | INFO | Entering Username
2026-07-30 00:54:04,350 | INFO | Entering Password
2026-07-30 00:54:04,514 | INFO | Clicking Login Button
2026-07-30 00:54:06,777 | INFO | Login Request Submitted
2026-07-30 00:54:06,897 | INFO | Opening Dashboard Page
2026-07-30 00:54:07,319 | INFO | Checking Dashboard Page
2026-07-30 00:54:11,667 | INFO | Opening Login Page
2026-07-30 00:54:12,022 | INFO | Starting Login Process
2026-07-30 00:54:12,022 | INFO | Entering Username
2026-07-30 00:54:13,843 | INFO | Entering Password
2026-07-30 00:54:14,004 | INFO | Clicking Login Button
2026-07-30 00:54:17,028 | INFO | Login Request Submitted
2026-07-30 00:54:21,504 | INFO | Opening Login Page
2026-07-30 00:54:22,943 | INFO | Starting Login Process
2026-07-30 00:54:22,943 | INFO | Entering Username
2026-07-30 00:54:23,700 | INFO | Entering Password
2026-07-30 00:54:23,867 | INFO | Clicking Login Button
2026-07-30 00:54:26,195 | INFO | Login Request Submitted
2026-07-30 00:54:30,606 | INFO | Opening Login Page
2026-07-30 00:54:31,341 | INFO | Starting Login Process
2026-07-30 00:54:31,342 | INFO | Entering Username
2026-07-30 00:54:33,297 | INFO | Entering Password
2026-07-30 00:54:33,455 | INFO | Clicking Login Button
2026-07-30 00:54:34,488 | INFO | Login Request Submitted
2026-07-30 00:54:49,468 | INFO | Opening Login Page
2026-07-30 00:54:49,880 | INFO | Starting Login Process
2026-07-30 00:54:49,880 | INFO | Entering Username
2026-07-30 00:54:51,681 | INFO | Entering Password
2026-07-30 00:54:51,856 | INFO | Clicking Login Button
2026-07-30 00:54:52,892 | INFO | Login Request Submitted
2026-07-30 00:55:07,843 | INFO | Opening Login Page
2026-07-30 00:55:08,179 | INFO | Starting Login Process
2026-07-30 00:55:08,179 | INFO | Entering Username
2026-07-30 00:55:09,997 | INFO | Entering Password
2026-07-30 00:55:10,189 | INFO | Clicking Login Button
2026-07-30 00:55:11,176 | INFO | Login Request Submitted
2026-07-30 00:55:26,155 | INFO | Opening Login Page
2026-07-30 00:55:26,884 | INFO | Starting Login Process
2026-07-30 00:55:26,884 | INFO | Entering Username
2026-07-30 00:55:28,706 | INFO | Entering Password
2026-07-30 00:55:28,861 | INFO | Clicking Login Button
2026-07-30 00:55:31,345 | INFO | Login Request Submitted
2026-07-30 00:55:31,433 | INFO | Opening Smart Bin Page
2026-07-30 00:55:31,602 | INFO | Clicking Full Filter
2026-07-30 00:56:30,458 | INFO | Opening Login Page
2026-07-30 00:56:30,887 | INFO | Starting Login Process
2026-07-30 00:56:30,888 | INFO | Entering Username
2026-07-30 00:56:31,648 | INFO | Entering Password
2026-07-30 00:56:31,805 | INFO | Clicking Login Button
2026-07-30 00:56:35,667 | INFO | Login Request Submitted
2026-07-30 00:56:35,724 | INFO | Opening Dashboard Page
2026-07-30 00:56:36,147 | INFO | Checking Dashboard Page
2026-07-30 00:56:40,648 | INFO | Opening Login Page
2026-07-30 00:56:41,008 | INFO | Starting Login Process
2026-07-30 00:56:41,008 | INFO | Entering Username
2026-07-30 00:56:41,759 | INFO | Entering Password
2026-07-30 00:56:41,909 | INFO | Clicking Login Button
2026-07-30 00:56:44,672 | INFO | Login Request Submitted
2026-07-30 00:56:49,228 | INFO | Opening Login Page
2026-07-30 00:56:51,133 | INFO | Starting Login Process
2026-07-30 00:56:51,133 | INFO | Entering Username
2026-07-30 00:56:51,351 | INFO | Entering Password
2026-07-30 00:56:51,519 | INFO | Clicking Login Button
2026-07-30 00:56:54,501 | INFO | Login Request Submitted
2026-07-30 00:56:59,052 | INFO | Opening Login Page
2026-07-30 00:56:59,721 | INFO | Starting Login Process
2026-07-30 00:56:59,721 | INFO | Entering Username
2026-07-30 00:56:59,991 | INFO | Entering Password
2026-07-30 00:57:00,172 | INFO | Clicking Login Button
2026-07-30 00:57:01,171 | INFO | Login Request Submitted
2026-07-30 00:57:16,178 | INFO | Opening Login Page
2026-07-30 00:57:16,611 | INFO | Starting Login Process
2026-07-30 00:57:16,611 | INFO | Entering Username
2026-07-30 00:57:17,360 | INFO | Entering Password
2026-07-30 00:57:17,518 | INFO | Clicking Login Button
2026-07-30 00:57:18,483 | INFO | Login Request Submitted
2026-07-30 00:57:33,988 | INFO | Opening Login Page
2026-07-30 00:57:34,739 | INFO | Starting Login Process
2026-07-30 00:57:34,739 | INFO | Entering Username
2026-07-30 00:57:34,977 | INFO | Entering Password
2026-07-30 00:57:35,140 | INFO | Clicking Login Button
2026-07-30 00:57:36,127 | INFO | Login Request Submitted
2026-07-30 00:57:51,548 | INFO | Opening Login Page
2026-07-30 00:57:51,876 | INFO | Starting Login Process
2026-07-30 00:57:51,877 | INFO | Entering Username
2026-07-30 00:57:52,633 | INFO | Entering Password
2026-07-30 00:57:52,791 | INFO | Clicking Login Button
2026-07-30 00:57:55,074 | INFO | Login Request Submitted
2026-07-30 00:57:55,206 | INFO | Opening Smart Bin Page
2026-07-30 00:57:55,344 | INFO | Clicking Full Filter
2026-07-30 00:59:31,897 | INFO | Opening Login Page
2026-07-30 00:59:32,742 | INFO | Opening Login Page
2026-07-30 00:59:33,302 | INFO | Opening Login Page
2026-07-30 00:59:33,555 | INFO | Opening Login Page
2026-07-30 00:59:33,653 | INFO | Opening Login Page
2026-07-30 00:59:34,078 | INFO | Starting Login Process
2026-07-30 00:59:34,079 | INFO | Entering Username
2026-07-30 00:59:34,553 | INFO | Starting Login Process
2026-07-30 00:59:34,553 | INFO | Entering Username
2026-07-30 00:59:35,303 | INFO | Entering Password
2026-07-30 00:59:35,485 | INFO | Starting Login Process
2026-07-30 00:59:35,486 | INFO | Entering Username
2026-07-30 00:59:35,500 | INFO | Clicking Login Button
2026-07-30 00:59:35,554 | INFO | Starting Login Process
2026-07-30 00:59:35,555 | INFO | Entering Username
2026-07-30 00:59:35,730 | INFO | Starting Login Process
2026-07-30 00:59:35,731 | INFO | Entering Username
2026-07-30 00:59:35,884 | INFO | Entering Password
2026-07-30 00:59:36,227 | INFO | Clicking Login Button
2026-07-30 00:59:36,489 | INFO | Entering Password
2026-07-30 00:59:36,621 | INFO | Entering Password
2026-07-30 00:59:36,724 | INFO | Entering Password
2026-07-30 00:59:36,929 | INFO | Clicking Login Button
2026-07-30 00:59:37,097 | INFO | Clicking Login Button
2026-07-30 00:59:37,323 | INFO | Clicking Login Button
2026-07-30 00:59:38,684 | INFO | Login Request Submitted
2026-07-30 00:59:40,238 | INFO | Login Request Submitted
2026-07-30 00:59:40,905 | INFO | Login Request Submitted
2026-07-30 00:59:41,266 | INFO | Opening Login Page
2026-07-30 00:59:42,053 | INFO | Starting Login Process
2026-07-30 00:59:42,053 | INFO | Entering Username
2026-07-30 00:59:42,437 | INFO | Entering Password
2026-07-30 00:59:42,698 | INFO | Opening Login Page
2026-07-30 00:59:43,072 | INFO | Clicking Login Button
2026-07-30 00:59:43,388 | INFO | Starting Login Process
2026-07-30 00:59:43,388 | INFO | Entering Username
